documents,execution,request,memory
5000,107.07855900000001,186,83
10000,109.3720069,189,98
15000,112.11860349999999,194,106
20000,121.34456579999998,179,130
25000,146.3496952,187,137
30000,156.0393887,204,142
35000,187.8948453,198,169
40000,213.6265155,182,172
45000,227.04172870000002,195,181
50000,279.5286095,185,195
55000,310.4763935,200,208
60000,346.8557527,189,218
65000,371.56693,196,241
70000,423.3088927,187,267
75000,487.74575619999996,187,326
80000,537.1384805,205,348
85000,584.4342528,201,396
90000,613.1882497999999,203,416
95000,632.9780696,196,451
100000,696.5986052999999,200,564
